layer,No.,range,areas,weight,attributions,lower connections (layer-index),upper connections (layer-index)
2,5,9,[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(1-1) (1-2)],[(3-3) (1-4)]
2,6,9,[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000],[0 0 0 1 1 1 1 1 0 1] [1 1 1 0 0 1 1 0 0 0] [0 0 1 1 1 1 0 0 0 1] [0 0 0 1 1 1 1 0 0 0] [0 1 1 0 1 1 1 0 0 0] [1 1 0 0 1 1 1 1 0 0] [0 0 1 1 0 1 0 0 0 0] [1 1 0 0 1 1 1 0 0 1] ,[(1-2) (1-3) (1-4)],[(3-3) (1-4)]
2,7,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[1 0 0 0 1 1 0 1 0 1] [1 0 1 0 1 0 0 0 0 0] [1 1 0 0 1 1 1 0 1 1] [0 0 0 0 0 0 1 0 0 0] [0 0 0 0 1 0 1 1 1 0] [1 1 1 1 0 1 0 1 1 0] [1 0 1 0 1 1 0 0 0 0] [0 1 1 1 1 0 0 0 0 0] ,[(1-4) (1-5) (1-6)],[(3-3) (1-4)]
2,8,9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],[1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000],[0 1 1 1 1 0 0 0 0 0] [0 0 1 0 1 0 1 0 0 1] [0 1 1 1 0 0 0 0 0 1] [1 0 0 1 1 0 0 0 1 1] [0 0 1 1 0 0 0 1 0 0] [1 1 0 0 0 0 0 1 0 0] [1 0 1 0 0 0 0 0 1 1] [0 1 0 1 1 1 0 0 1 0] ,[(1-5) (1-6)],[(3-3) (1-4)]
3,1,23,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],[1.000000 1.000000 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(2-1) (2-2) (2-3) (2-4)],[(4-1) (2-2)]
3,2,23,[0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1.000000 1.000000 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(2-1) (2-2) (2-3) (2-4)],[(4-1) (2-2)]
3,3,22,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],[1.000000 1.000000 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(2-1) (2-2) (2-3) (2-4) (2-5) (2-6) (2-7) (2-8)],[(4-1) (2-2)]
3,4,22,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1.000000 1.000000 1.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(2-1) (2-2) (2-3) (2-4) (2-5) (2-6) (2-7) (2-8)],[(4-1) (2-2)]
4,1,24,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],[1.000000 1.000000 1.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(3-1) (3-2) (3-3) (3-4)],[]
4,2,24,[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1.000000 1.000000 1.000000 1.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000],[0 0 0 0 0 0 1 0 0 1] [1 0 0 1 1 0 0 0 1 0] [0 1 0 1 1 0 1 0 0 1] [0 0 0 0 1 1 0 0 1 1] [1 0 0 0 1 1 0 1 1 0] [1 0 0 0 1 0 1 0 1 1] [0 1 0 0 0 0 0 1 0 0] [0 0 0 1 1 1 1 1 0 1] ,[(3-1) (3-2) (3-3) (3-4)],[]
Delay: 25
TransCost: 24
AttrTrans: 41307
NumFailures:4
